n_sets	agreement_raw	agreement_after_removing_size	pct_of_agreement_that_is_size	reading	what_this_is_not	mapping	cohort_a	cohort_b
284				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	ThomasAM_2018a
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	ThomasAM_2018b
283				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	ThomasAM_2019_c
278				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	VogtmannE_2016
287	0.8733	0.5043	42.2	42% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	YuJ_2015
284	0.8689	0.4611	46.9	47% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	FengQ_2015	ZellerG_2014
273				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018a	ThomasAM_2018b
286				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018a	ThomasAM_2019_c
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018a	VogtmannE_2016
291				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018a	YuJ_2015
282				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018a	ZellerG_2014
276				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018b	ThomasAM_2019_c
276				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018b	VogtmannE_2016
277				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018b	YuJ_2015
280				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2018b	ZellerG_2014
279				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2019_c	VogtmannE_2016
288				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2019_c	YuJ_2015
284				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	ThomasAM_2019_c	ZellerG_2014
280				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	VogtmannE_2016	YuJ_2015
282				nan% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	VogtmannE_2016	ZellerG_2014
286	0.8736	0.6626	24.2	24% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_FDR10	YuJ_2015	ZellerG_2014
284	0.7058	0.1511	78.6	79% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	ThomasAM_2018a
277	0.7328	0.3879	47.1	47% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	ThomasAM_2018b
283	0.7861	0.4646	40.9	41% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	ThomasAM_2019_c
278	0.7775	0.4452	42.7	43% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	VogtmannE_2016
287	0.8568	0.3127	63.5	64% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	YuJ_2015
284	0.8936	0.3703	58.6	59% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	FengQ_2015	ZellerG_2014
273	0.6701	0.271	59.6	60% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018a	ThomasAM_2018b
286	0.6746	0.3182	52.8	53% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018a	ThomasAM_2019_c
277	0.7904	0.5055	36.0	36% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018a	VogtmannE_2016
291	0.7029	0.1301	81.5	82% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018a	YuJ_2015
282	0.6905	0.1826	73.6	74% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018a	ZellerG_2014
276	0.7931	0.546	31.2	31% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018b	ThomasAM_2019_c
276	0.713	0.4289	39.8	40% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018b	VogtmannE_2016
277	0.745	0.2033	72.7	73% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018b	YuJ_2015
280	0.7399	0.1775	76.0	76% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2018b	ZellerG_2014
279	0.7822	0.5274	32.6	33% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2019_c	VogtmannE_2016
288	0.7475	0.3248	56.6	57% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2019_c	YuJ_2015
284	0.793	0.3708	53.2	53% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	ThomasAM_2019_c	ZellerG_2014
280	0.7698	0.2775	64.0	64% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	VogtmannE_2016	YuJ_2015
282	0.7682	0.357	53.5	54% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	VogtmannE_2016	ZellerG_2014
286	0.8919	0.5462	38.8	39% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	D_nominal05	YuJ_2015	ZellerG_2014
