n_sets	agreement_raw	agreement_after_removing_size	pct_of_agreement_that_is_size	reading	what_this_is_not	mapping	cohort_a	cohort_b
407	0.9343	0.9563	-2.4	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	ThomasAM_2018a
407	0.9526	0.9837	-3.3	-3% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	ThomasAM_2018b
424	0.95	0.9657	-1.7	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	ThomasAM_2019_c
417	0.9572	0.9576	-0.0	-0% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	VogtmannE_2016
448	0.9574	0.9727	-1.6	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	YuJ_2015
436	0.9621	0.9744	-1.3	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	FengQ_2015	ZellerG_2014
398	0.9273	0.9589	-3.4	-3% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018a	ThomasAM_2018b
404	0.9546	0.9752	-2.2	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018a	ThomasAM_2019_c
398	0.9502	0.9618	-1.2	-1% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018a	VogtmannE_2016
410	0.955	0.9707	-1.6	-2% of the apparent agreement between these two screens is explained by set size. Both are confounded the same way, so agreeing for the same wrong reason is indistinguishable from agreeing for the right one.	Not a claim about any individual set, and not a claim that either screen is wrong. It measures what the replication is worth as evidence.	A_detection	ThomasAM_2018a	YuJ_2015
